1;G_0;(0.0, 0.06);(0.06, 0.06);(0.0, 0.0);(0.06, 0.0);-1
1;G_1;(0.0, 0.12);(0.06, 0.12);(0.0, 0.06);(0.06, 0.06);-1
1;G_2;(0.0, 0.19);(0.06, 0.19);(0.0, 0.12);(0.06, 0.12);-1
1;G_3;(0.0, 0.25);(0.06, 0.25);(0.0, 0.19);(0.06, 0.19);-1
1;G_4;(0.0, 0.31);(0.06, 0.31);(0.0, 0.25);(0.06, 0.25);-1
1;G_5;(0.0, 0.38);(0.06, 0.38);(0.0, 0.31);(0.06, 0.31);-1
1;G_6;(0.0, 0.44);(0.06, 0.44);(0.0, 0.38);(0.06, 0.38);-1
1;G_7;(0.0, 0.5);(0.06, 0.5);(0.0, 0.44);(0.06, 0.44);-1
1;G_8;(0.0, 0.56);(0.06, 0.56);(0.0, 0.5);(0.06, 0.5);-1
1;G_9;(0.0, 0.62);(0.06, 0.62);(0.0, 0.56);(0.06, 0.56);-1
1;G_10;(0.0, 0.69);(0.06, 0.69);(0.0, 0.62);(0.06, 0.62);-1
1;G_11;(0.0, 0.75);(0.06, 0.75);(0.0, 0.69);(0.06, 0.69);-1
1;G_12;(0.0, 0.81);(0.06, 0.81);(0.0, 0.75);(0.06, 0.75);-1
1;G_13;(0.0, 0.88);(0.06, 0.88);(0.0, 0.81);(0.06, 0.81);-1
1;G_14;(0.0, 0.94);(0.06, 0.94);(0.0, 0.88);(0.06, 0.88);-1
1;G_15;(0.0, 1.0);(0.06, 1.0);(0.0, 0.94);(0.06, 0.94);-1
1;G_16;(0.06, 0.06);(0.12, 0.06);(0.06, 0.0);(0.12, 0.0);-1
1;G_17;(0.06, 0.12);(0.12, 0.12);(0.06, 0.06);(0.12, 0.06);-1
1;G_18;(0.06, 0.19);(0.12, 0.19);(0.06, 0.12);(0.12, 0.12);-1
1;G_19;(0.06, 0.25);(0.12, 0.25);(0.06, 0.19);(0.12, 0.19);-1
1;G_20;(0.06, 0.31);(0.12, 0.31);(0.06, 0.25);(0.12, 0.25);-1
1;G_21;(0.06, 0.38);(0.12, 0.38);(0.06, 0.31);(0.12, 0.31);-1
1;G_22;(0.06, 0.44);(0.12, 0.44);(0.06, 0.38);(0.12, 0.38);-1
1;G_23;(0.06, 0.5);(0.12, 0.5);(0.06, 0.44);(0.12, 0.44);-1
1;G_24;(0.06, 0.56);(0.12, 0.56);(0.06, 0.5);(0.12, 0.5);-1
1;G_25;(0.06, 0.62);(0.12, 0.62);(0.06, 0.56);(0.12, 0.56);-1
1;G_26;(0.06, 0.69);(0.12, 0.69);(0.06, 0.62);(0.12, 0.62);-1
1;G_27;(0.06, 0.75);(0.12, 0.75);(0.06, 0.69);(0.12, 0.69);-1
1;G_28;(0.06, 0.81);(0.12, 0.81);(0.06, 0.75);(0.12, 0.75);-1
1;G_29;(0.06, 0.88);(0.12, 0.88);(0.06, 0.81);(0.12, 0.81);-1
1;G_30;(0.06, 0.94);(0.12, 0.94);(0.06, 0.88);(0.12, 0.88);-1
1;G_31;(0.06, 1.0);(0.12, 1.0);(0.06, 0.94);(0.12, 0.94);-1
1;G_32;(0.12, 0.06);(0.19, 0.06);(0.12, 0.0);(0.19, 0.0);-1
1;G_33;(0.12, 0.12);(0.19, 0.12);(0.12, 0.06);(0.19, 0.06);-1
